Z01	35.90463	-91.63537
Z02	36.09227	-91.75397
Z03	36.20048	-91.759
Z04	36.38583	-91.80977
Z05	36.44377	-91.67055
Z06	36.27342	-91.33447
Z07	35.8711	-91.31063
Z08	35.98673	-91.27977
Z09	36.05387	-91.31013
Z10	35.61367	-91.60728
Z11	35.5444	-91.56472
Z12	35.13473	-91.20812
Z13	34.78657	-90.97923
Z14	34.60395	-91.16275
Z15	34.36425	-91.23615
Z16	35.17857	-91.83028
Z17	35.36177	-91.80093
Z18	35.54105	-91.77822
Z19	35.73682	-92.10778
Z20	35.92978	-92.16195
Z21	35.54915	-92.5859
Z22	35.8173	-92.55042
Z23	36.37523	-92.11251
Z24	36.14685	-92.07063
Z25	36.33653	-92.47492
Z26	36.23627	-92.5355
Z27	36.06698	-92.63615
Z28	36.03458	-92.62962
Z29	36.02182	-92.67905
Z30	35.97823	-92.48175
Z31	35.92747	-92.89285
Z32	36.45005	-93.07547
Z33	36.23702	-92.98725
Z34	36.1545	-92.90213
Z35	35.98273	-93.04035
Z36	35.9437	-93.06555
Z37	35.96167	-93.23573
Z38	36.03938	-93.33633
Z39	36.306	-93.29217
Z40	36.1438	-93.59412
Z41	36.04162	-93.70483
Z42	36.13102	-93.94767
Z43	36.04882	-93.9749
Z44	35.8285	-93.83217
Z45	35.96977	-94.06695
Z46	35.98301	-94.17291
Z47	36.42222	-93.40465
Z48	36.25182	-93.44542
Z49	36.39507	-93.63708
Z50	36.01029	-93.18442
Z51	36.5793	-91.0464
Z52	36.82858	-90.81385
Z53	37.35042	-90.67063
Z54	37.45043	-90.82758
Z55	37.35483	-90.97105
Z56	37.34072	-91.11922
Z57	37.38667	-91.35687
Z58	37.45613	-91.69537
Z59	37.39322	-91.61367
Z60	37.07653	-91.73233
Z61	36.85519	-91.67677
Z62	36.55238	-91.53942
Z63	36.58188	-91.2373
Z64	36.51137	-91.85567
Z65	36.5505	-92.34367
Z66	36.85278	-92.34127
Z67	36.88635	-92.47363
Z68	37.02342	-92.76715
Z69	37.04205	-93.1387
Z70	37.24627	-92.8799
Z71	37.18145	-93.37052
Z72	36.78593	-93.17478
Z73	36.78707	-93.05963
Z74	36.86595	-93.45745
Z75	36.8186	-93.78745
